APC,Provider State,Outpatient Services,Average Estimated Submitted Charges,Average Total Payments
0013 - Level II Debridement & Destruction,AZ,5955,301.7876893,55.19210076
0013 - Level II Debridement & Destruction,CA,25898,277.6876743,64.81539308
0013 - Level II Debridement & Destruction,CO,5428,237.8835096,55.20473839
0013 - Level II Debridement & Destruction,CT,4348,153.1004393,59.81856026
0013 - Level II Debridement & Destruction,DC,363,298.3976033,56.68523416
0013 - Level II Debridement & Destruction,DE,272,189.1635662,58.494375
0013 - Level II Debridement & Destruction,FL,15729,250.654526,54.22994087
0013 - Level II Debridement & Destruction,GA,10110,245.6222859,54.26636993
0013 - Level II Debridement & Destruction,HI,2844,170.6261076,55.96298875
0013 - Level II Debridement & Destruction,IA,11400,121.6830456,51.42498684
0013 - Level II Debridement & Destruction,ID,1339,143.9625243,57.8160717
0013 - Level II Debridement & Destruction,IL,23574,162.5132192,54.46198778
0013 - Level II Debridement & Destruction,IN,7170,194.2692427,51.58269177
0013 - Level II Debridement & Destruction,KS,4141,246.8741343,53.13408355
0013 - Level II Debridement & Destruction,KY,3320,270.7130964,51.2230241
0013 - Level II Debridement & Destruction,LA,3199,247.015733,51.83413567
0013 - Level II Debridement & Destruction,MA,27895,323.1458534,66.2880104
0013 - Level II Debridement & Destruction,ME,7665,110.5323509,55.63213829
0013 - Level II Debridement & Destruction,MI,21444,149.4995878,54.38274669
0013 - Level II Debridement & Destruction,MN,21152,129.9426366,55.64076872
0013 - Level II Debridement & Destruction,MO,14483,138.660319,50.90346199
0013 - Level II Debridement & Destruction,MS,3411,302.594207,50.32560833
0013 - Level II Debridement & Destruction,MT,9391,92.38049622,53.88880737
0013 - Level II Debridement & Destruction,NC,14316,153.8365801,49.86114906
0013 - Level II Debridement & Destruction,ND,13391,98.79317377,53.06115376
0013 - Level II Debridement & Destruction,NE,2859,188.9271808,57.8763064
0013 - Level II Debridement & Destruction,NH,8639,161.6556638,58.50325038
0013 - Level II Debridement & Destruction,NJ,4621,308.9229106,65.44704609
0013 - Level II Debridement & Destruction,NM,2264,164.6033436,56.94188163
0013 - Level II Debridement & Destruction,NV,2099,399.7292997,61.74283945
0013 - Level II Debridement & Destruction,NY,14717,170.3970945,59.60435007
0013 - Level II Debridement & Destruction,OH,16834,154.0872561,50.76137044
0013 - Level II Debridement & Destruction,OK,2191,303.1197855,53.67165221
0013 - Level II Debridement & Destruction,OR,10454,150.3727186,58.69139851
0013 - Level II Debridement & Destruction,PA,32049,261.119488,50.76282224
0013 - Level II Debridement & Destruction,RI,444,343.033536,58.86972973
0013 - Level II Debridement & Destruction,SC,5626,198.6243086,50.47255954
0013 - Level II Debridement & Destruction,SD,11637,89.54198591,48.32150382
0013 - Level II Debridement & Destruction,TN,4835,238.7735946,50.77881075
0013 - Level II Debridement & Destruction,TX,41291,214.8685411,51.22866581
0013 - Level II Debridement & Destruction,UT,5796,144.0898395,50.75725845
0013 - Level II Debridement & Destruction,VA,12997,192.4081627,53.16114565
0013 - Level II Debridement & Destruction,VT,3557,293.3057886,51.33781839
0013 - Level II Debridement & Destruction,WA,19705,131.2351368,55.39380259
0013 - Level II Debridement & Destruction,WI,28183,128.2011482,54.75871305
0013 - Level II Debridement & Destruction,WV,4074,262.2601227,49.14401816
0013 - Level II Debridement & Destruction,WY,156,151.7285256,44.45583333
0015 - Level III Debridement & Destruction,AK,483,274.9393582,123.9111387
0015 - Level III Debridement & Destruction,AL,9026,437.6146776,85.4053645
0015 - Level III Debridement & Destruction,AR,8936,316.3274228,94.47629924
0015 - Level III Debridement & Destruction,AZ,8959,414.7003572,100.4471582
0015 - Level III Debridement & Destruction,CA,32598,432.6625618,115.5337987
0015 - Level III Debridement & Destruction,CO,5371,473.2129864,100.9864941
0015 - Level III Debridement & Destruction,CT,9353,261.5365915,112.0939121
0015 - Level III Debridement & Destruction,DC,1115,325.1603946,104.8285919
0015 - Level III Debridement & Destruction,DE,1476,226.2004607,103.0209485
0015 - Level III Debridement & Destruction,FL,37580,418.4253837,95.68729776
0015 - Level III Debridement & Destruction,GA,15165,393.1447603,93.81514672
0015 - Level III Debridement & Destruction,HI,883,236.5390713,102.5084258
0015 - Level III Debridement & Destruction,IA,13421,255.6003189,94.86280829
0015 - Level III Debridement & Destruction,ID,1223,226.0007359,98.11752249
0015 - Level III Debridement & Destruction,IL,28531,335.399007,98.17635064
0015 - Level III Debridement & Destruction,IN,12190,351.4456333,94.17726251
0015 - Level III Debridement & Destruction,KS,6709,345.2056625,94.41601878
0015 - Level III Debridement & Destruction,KY,10287,391.7967075,91.87227374
0015 - Level III Debridement & Destruction,LA,7135,302.9287666,89.97389909
0015 - Level III Debridement & Destruction,MA,23488,376.3251192,120.9731118
0015 - Level III Debridement & Destruction,ME,5689,266.447562,98.61034804
0015 - Level III Debridement & Destruction,MI,15972,247.3909454,99.50074756
0015 - Level III Debridement & Destruction,MN,13307,235.687605,103.4168302
0015 - Level III Debridement & Destruction,MO,13906,306.5045024,92.38887243
0015 - Level III Debridement & Destruction,MS,7086,381.8917288,89.95218741
0015 - Level III Debridement & Destruction,MT,4100,122.7953244,101.7585122
0015 - Level III Debridement & Destruction,NC,22943,294.07455,94.60488994
0015 - Level III Debridement & Destruction,ND,4028,174.6120929,100.0865914
0015 - Level III Debridement & Destruction,NE,3768,252.6861518,98.22420913
0015 - Level III Debridement & Destruction,NH,8566,329.6547735,110.5019379
0015 - Level III Debridement & Destruction,NJ,7776,458.1311137,109.0936703
0015 - Level III Debridement & Destruction,NM,2594,341.9470085,100.6584233
0015 - Level III Debridement & Destruction,NV,2526,381.2493983,98.89036817
0015 - Level III Debridement & Destruction,NY,17494,298.4686653,101.8961158
0015 - Level III Debridement & Destruction,OH,15651,293.3917226,93.77408025
0015 - Level III Debridement & Destruction,OK,7122,516.9811738,94.52360854
0015 - Level III Debridement & Destruction,OR,7085,279.1328327,106.0566761
0015 - Level III Debridement & Destruction,PA,34415,373.1792962,95.90341276
0015 - Level III Debridement & Destruction,RI,3096,459.8040181,105.9597481
0015 - Level III Debridement & Destruction,SC,10498,341.6954782,91.54125262
0015 - Level III Debridement & Destruction,SD,5459,207.5764554,95.57695365
0015 - Level III Debridement & Destruction,TN,19590,302.5797642,85.21462072
0015 - Level III Debridement & Destruction,TX,33532,477.8643508,95.54087499
0015 - Level III Debridement & Destruction,UT,4274,233.2671432,94.88778194
0015 - Level III Debridement & Destruction,VA,9574,328.25547,95.80872676
0015 - Level III Debridement & Destruction,VT,1825,473.2877863,100.2025205
0015 - Level III Debridement & Destruction,WA,15620,262.7736569,103.8898598
0015 - Level III Debridement & Destruction,WI,14808,290.2917902,99.80280254
0015 - Level III Debridement & Destruction,WV,1898,288.7503214,88.3637039
0015 - Level III Debridement & Destruction,WY,1508,360.1867241,101.0879244
0019 - Level I Excision/ Biopsy,AK,15,1585.016,356.2033333
0019 - Level I Excision/ Biopsy,AL,419,5107.272792,267.448568
0019 - Level I Excision/ Biopsy,AR,400,2116.276975,270.283525
0019 - Level I Excision/ Biopsy,AZ,176,3441.520455,290.8421023
0019 - Level I Excision/ Biopsy,CA,1256,4370.885247,358.2436385
0019 - Level I Excision/ Biopsy,CO,197,1980.148173,306.2789848
0019 - Level I Excision/ Biopsy,CT,663,1191.681569,321.2683409
0019 - Level I Excision/ Biopsy,DC,59,3358.087966,305.6276271
0019 - Level I Excision/ Biopsy,DE,69,911.2217391,304.1110145
0019 - Level I Excision/ Biopsy,FL,597,5459.655879,280.3907538
0019 - Level I Excision/ Biopsy,GA,348,4052.119253,284.6481034
0019 - Level I Excision/ Biopsy,HI,185,552.2578378,317.2221622
0019 - Level I Excision/ Biopsy,IA,1032,768.8513953,272.2092248
0019 - Level I Excision/ Biopsy,ID,43,1132.729767,259.4125581
0019 - Level I Excision/ Biopsy,IL,2048,1955.426484,291.1518701
0019 - Level I Excision/ Biopsy,IN,390,3311.780538,283.5831538
0019 - Level I Excision/ Biopsy,KS,123,3062.165203,283.9550407
0019 - Level I Excision/ Biopsy,KY,519,3782.5521,283.9476879
0019 - Level I Excision/ Biopsy,LA,277,4098.448845,274.2801083
0019 - Level I Excision/ Biopsy,MA,2380,1085.111924,339.3885798
0019 - Level I Excision/ Biopsy,ME,686,610.9346793,278.0853644
0019 - Level I Excision/ Biopsy,MI,1187,1647.366588,289.2272873
0019 - Level I Excision/ Biopsy,MN,1054,894.4172391,298.4989753
0019 - Level I Excision/ Biopsy,MO,1138,1258.450835,260.4757645
0019 - Level I Excision/ Biopsy,MS,249,3415.481807,263.8932129
0019 - Level I Excision/ Biopsy,MT,108,570.1137963,262.7439815
0019 - Level I Excision/ Biopsy,NC,1086,1586.631832,269.180884
0019 - Level I Excision/ Biopsy,ND,659,439.699393,275.3224583
0019 - Level I Excision/ Biopsy,NE,67,3382.284478,293.8056716
0019 - Level I Excision/ Biopsy,NH,436,772.6359174,320.9063991
0019 - Level I Excision/ Biopsy,NJ,517,4059.524023,339.8275629
0019 - Level I Excision/ Biopsy,NM,126,2538.067222,288.0130159
0019 - Level I Excision/ Biopsy,NV,40,11204.76875,329.575
0019 - Level I Excision/ Biopsy,NY,1390,1159.39705,280.4500791
0019 - Level I Excision/ Biopsy,OH,1269,1969.414539,269.8824901
0019 - Level I Excision/ Biopsy,OK,148,4172.222095,273.6200676
0019 - Level I Excision/ Biopsy,OR,452,644.0468363,291.4809292
0019 - Level I Excision/ Biopsy,PA,1472,2381.718655,280.0948573
0019 - Level I Excision/ Biopsy,RI,204,1410.649216,283.1606863
0019 - Level I Excision/ Biopsy,SC,272,3503.390515,278.2548529
0019 - Level I Excision/ Biopsy,SD,551,568.4356624,290.1648276
0019 - Level I Excision/ Biopsy,TN,281,3797.478719,270.7601779
0019 - Level I Excision/ Biopsy,TX,2194,2096.329107,278.0241796
0019 - Level I Excision/ Biopsy,UT,272,774.3065809,267.7911397
0019 - Level I Excision/ Biopsy,VA,1118,2431.883301,278.8643739
0019 - Level I Excision/ Biopsy,VT,370,891.2686486,288.1133784
0019 - Level I Excision/ Biopsy,WA,726,1066.648664,298.7088981
0019 - Level I Excision/ Biopsy,WI,1309,668.6246753,279.9934989
0019 - Level I Excision/ Biopsy,WV,298,1888.824899,260.8172483
0019 - Level I Excision/ Biopsy,WY,11,2819.060909,324.6409091
0020 - Level II Excision/ Biopsy,AK,39,3964.366667,689.6874359
0020 - Level II Excision/ Biopsy,AL,1142,3902.805245,485.8228284
0020 - Level II Excision/ Biopsy,AR,552,2820.196685,528.8841123
0020 - Level II Excision/ Biopsy,AZ,607,4336.536507,560.5516804
0020 - Level II Excision/ Biopsy,CA,3465,4692.15312,659.7437778
0020 - Level II Excision/ Biopsy,CO,329,3872.643131,552.0182675
0020 - Level II Excision/ Biopsy,CT,1072,2130.773843,644.8791604
0020 - Level II Excision/ Biopsy,DC,73,4055.668767,593.9668493
0020 - Level II Excision/ Biopsy,DE,100,1775.0673,593.3395
0020 - Level II Excision/ Biopsy,FL,2094,5133.649241,535.8132378
0020 - Level II Excision/ Biopsy,GA,956,4052.453169,539.6754812
0020 - Level II Excision/ Biopsy,HI,16,3265.38625,638.670625
0020 - Level II Excision/ Biopsy,IA,787,2085.872503,537.5901017
0020 - Level II Excision/ Biopsy,ID,136,2021.78375,547.2331618
0020 - Level II Excision/ Biopsy,IL,1961,3287.000148,558.6176033
0020 - Level II Excision/ Biopsy,IN,1111,3451.390918,535.2369307
0020 - Level II Excision/ Biopsy,KS,288,2982.177118,528.1310417
0020 - Level II Excision/ Biopsy,KY,898,3948.419621,522.6363586
0020 - Level II Excision/ Biopsy,LA,657,4592.062511,512.9024962
0020 - Level II Excision/ Biopsy,MA,2143,1762.396738,677.2428698
0020 - Level II Excision/ Biopsy,ME,495,1281.487273,547.6377374
0020 - Level II Excision/ Biopsy,MI,1425,2712.368849,561.4735509
0020 - Level II Excision/ Biopsy,MN,668,1957.195763,579.3483982
0020 - Level II Excision/ Biopsy,MO,1065,3062.693099,526.6033239
0020 - Level II Excision/ Biopsy,MS,739,3739.621502,501.4799594
0020 - Level II Excision/ Biopsy,MT,276,1003.458225,568.1000362
0020 - Level II Excision/ Biopsy,NC,2491,2291.104958,519.6132758
0020 - Level II Excision/ Biopsy,ND,534,736.8369288,552.220206
0020 - Level II Excision/ Biopsy,NE,290,2585.142655,544.9938276
0020 - Level II Excision/ Biopsy,NH,287,2070.569895,621.9496167
0020 - Level II Excision/ Biopsy,NJ,1163,3823.510456,625.5355976
0020 - Level II Excision/ Biopsy,NM,178,3841.770899,550.3399438
0020 - Level II Excision/ Biopsy,NV,157,3770.60172,589.8375796
0020 - Level II Excision/ Biopsy,NY,2079,2365.960082,591.3414093
0020 - Level II Excision/ Biopsy,OH,1949,2881.754787,520.5419651
0020 - Level II Excision/ Biopsy,OK,565,3596.140035,525.8781416
0020 - Level II Excision/ Biopsy,OR,267,1912.608277,594.3094382
0020 - Level II Excision/ Biopsy,PA,2262,3314.765703,536.5708267
0020 - Level II Excision/ Biopsy,RI,324,1749.313981,576.0599691
0020 - Level II Excision/ Biopsy,SC,735,4405.156789,521.1918503
0020 - Level II Excision/ Biopsy,SD,384,1179.02112,560.6584115
0020 - Level II Excision/ Biopsy,TN,1077,3543.679554,502.5225348
0020 - Level II Excision/ Biopsy,TX,2675,3948.123828,540.5266654
0020 - Level II Excision/ Biopsy,UT,178,1711.362416,536.1266292
0020 - Level II Excision/ Biopsy,VA,1100,3878.901464,536.4923818
0020 - Level II Excision/ Biopsy,VT,254,1260.584646,569.8844094
0020 - Level II Excision/ Biopsy,WA,825,2379.418545,599.9454182
0020 - Level II Excision/ Biopsy,WI,691,2169.163227,554.9019392
0020 - Level II Excision/ Biopsy,WV,562,2503.410231,481.7944662
0020 - Level II Excision/ Biopsy,WY,33,2839.897879,545.3051515
0073 - Level III Endoscopy Upper Airway,AK,30,387.4416667,352.124
0073 - Level III Endoscopy Upper Airway,AL,*,*,*
0073 - Level III Endoscopy Upper Airway,AR,85,412.4691765,281.5497647
0073 - Level III Endoscopy Upper Airway,AZ,180,831.6722222,315.0928889
0073 - Level III Endoscopy Upper Airway,CA,1251,868.2773621,388.7507674
0073 - Level III Endoscopy Upper Airway,CO,266,960.3579699,316.7618045
0073 - Level III Endoscopy Upper Airway,CT,*,*,*
0073 - Level III Endoscopy Upper Airway,DC,163,1042.111043,311.5169325
0073 - Level III Endoscopy Upper Airway,DE,47,327.5531915,323.1397872
0073 - Level III Endoscopy Upper Airway,FL,296,831.2040541,293.4890541
0073 - Level III Endoscopy Upper Airway,GA,289,1189.953218,295.8383737
0073 - Level III Endoscopy Upper Airway,IA,138,796.9057971,292.8927536
0073 - Level III Endoscopy Upper Airway,ID,*,*,*
0073 - Level III Endoscopy Upper Airway,IL,615,768.3849756,312.3610732
0073 - Level III Endoscopy Upper Airway,IN,64,1175.427813,281.4128125
0073 - Level III Endoscopy Upper Airway,KS,*,*,*
0073 - Level III Endoscopy Upper Airway,KY,376,1347.832606,278.3824202
0073 - Level III Endoscopy Upper Airway,LA,288,531.6033333,278.2539583
0073 - Level III Endoscopy Upper Airway,MA,686,1711.103499,372.590277
0073 - Level III Endoscopy Upper Airway,ME,24,425.245,303.3975
0073 - Level III Endoscopy Upper Airway,MI,1152,492.1195313,303.6669444
0073 - Level III Endoscopy Upper Airway,MN,232,1038.30819,314.221681
0073 - Level III Endoscopy Upper Airway,MO,113,867.1928319,276.5972566
0073 - Level III Endoscopy Upper Airway,MS,12,722.875,279.2
0073 - Level III Endoscopy Upper Airway,MT,52,496.2307692,306.2509615
0073 - Level III Endoscopy Upper Airway,NC,960,594.4414896,286.0487396
0073 - Level III Endoscopy Upper Airway,ND,35,395.0651429,309.2265714
0073 - Level III Endoscopy Upper Airway,NH,23,2167,348.6347826
0073 - Level III Endoscopy Upper Airway,NJ,*,*,*
0073 - Level III Endoscopy Upper Airway,NM,56,389.7321429,297.6460714
0073 - Level III Endoscopy Upper Airway,NV,*,*,*
0073 - Level III Endoscopy Upper Airway,NY,169,1612.028343,350.6657396
0073 - Level III Endoscopy Upper Airway,OH,529,1039.16155,289.1154064
0073 - Level III Endoscopy Upper Airway,OK,*,*,*
0073 - Level III Endoscopy Upper Airway,OR,309,922.998932,327.7891262
0073 - Level III Endoscopy Upper Airway,PA,176,871.9086932,288.340625
0073 - Level III Endoscopy Upper Airway,RI,90,976.4378889,334.1711111
0073 - Level III Endoscopy Upper Airway,SC,330,1412.778182,288.108697
0073 - Level III Endoscopy Upper Airway,SD,*,*,*
0073 - Level III Endoscopy Upper Airway,TN,538,899.9155762,291.6890149
0073 - Level III Endoscopy Upper Airway,TX,68,1077.557647,282.7336765
0073 - Level III Endoscopy Upper Airway,UT,176,667.5626136,295.6707955
0073 - Level III Endoscopy Upper Airway,VA,22,945.5836364,270.2340909
0073 - Level III Endoscopy Upper Airway,VT,38,1208.368421,322.5952632
0073 - Level III Endoscopy Upper Airway,WA,886,810.1352144,323.131377
0073 - Level III Endoscopy Upper Airway,WI,275,746.7345818,303.4752364
0073 - Level III Endoscopy Upper Airway,WV,49,1135.532857,273.6802041
0073 - Level III Endoscopy Upper Airway,WY,*,*,*
0074 - Level IV Endoscopy Upper Airway,AK,12,5791.939167,1749.185
0074 - Level IV Endoscopy Upper Airway,AL,280,9090.224071,1286.742929
0074 - Level IV Endoscopy Upper Airway,AR,255,5556.790902,1342.458706
0074 - Level IV Endoscopy Upper Airway,AZ,259,7620.604826,1447.387683
0074 - Level IV Endoscopy Upper Airway,CA,1244,11450.7151,1790.102098
0074 - Level IV Endoscopy Upper Airway,CO,174,8119.218046,1504.316954
0074 - Level IV Endoscopy Upper Airway,CT,250,5853.45964,1625.88252
0074 - Level IV Endoscopy Upper Airway,DC,74,8208.957027,1542.90027
0074 - Level IV Endoscopy Upper Airway,DE,81,4992.893951,1527.190617
0074 - Level IV Endoscopy Upper Airway,FL,933,12618.73167,1400.780954
0074 - Level IV Endoscopy Upper Airway,GA,537,7080.601266,1381.994134
0074 - Level IV Endoscopy Upper Airway,HI,26,5997.742692,1545.799615
0074 - Level IV Endoscopy Upper Airway,IA,260,5531.095846,1383.678577
0074 - Level IV Endoscopy Upper Airway,ID,87,2844.047931,1248.914943
0074 - Level IV Endoscopy Upper Airway,IL,953,6692.13022,1431.54468
0074 - Level IV Endoscopy Upper Airway,IN,363,6799.413994,1413.136694
0074 - Level IV Endoscopy Upper Airway,KS,103,7219.619515,1390.695437
0074 - Level IV Endoscopy Upper Airway,KY,342,7105.114327,1367.911696
0074 - Level IV Endoscopy Upper Airway,LA,302,7306.544238,1325.482815
0074 - Level IV Endoscopy Upper Airway,MA,594,4810.579141,1728.402306
0074 - Level IV Endoscopy Upper Airway,ME,157,3558.841975,1435.63586
0074 - Level IV Endoscopy Upper Airway,MI,776,4959.606469,1463.152023
0074 - Level IV Endoscopy Upper Airway,MN,379,5641.57686,1533.410264
0074 - Level IV Endoscopy Upper Airway,MO,501,7141.265589,1337.618283
0074 - Level IV Endoscopy Upper Airway,MS,141,7926.828794,1288.503688
0074 - Level IV Endoscopy Upper Airway,MT,28,4403.642857,1491.948929
0074 - Level IV Endoscopy Upper Airway,NC,1108,4519.753412,1265.447942
0074 - Level IV Endoscopy Upper Airway,ND,97,3209.964021,1495.094124
0074 - Level IV Endoscopy Upper Airway,NE,114,5914.53,1403.227895
0074 - Level IV Endoscopy Upper Airway,NH,186,3552.156613,1560.89586
0074 - Level IV Endoscopy Upper Airway,NJ,363,8408.247658,1637.417521
0074 - Level IV Endoscopy Upper Airway,NM,51,8072.280784,1470.95902
0074 - Level IV Endoscopy Upper Airway,NV,81,11125.05321,1555.334198
0074 - Level IV Endoscopy Upper Airway,NY,883,5672.723851,1585.835595
0074 - Level IV Endoscopy Upper Airway,OH,644,7284.375109,1356.861537
0074 - Level IV Endoscopy Upper Airway,OK,211,8678.271611,1358.548626
0074 - Level IV Endoscopy Upper Airway,OR,319,3733.789028,1414.223386
0074 - Level IV Endoscopy Upper Airway,PA,862,8575.477146,1412.758353
0074 - Level IV Endoscopy Upper Airway,RI,55,3583.866364,1569.413091
0074 - Level IV Endoscopy Upper Airway,SC,283,8483.401237,1348.695159
0074 - Level IV Endoscopy Upper Airway,SD,61,5202.428525,1429.150984
0074 - Level IV Endoscopy Upper Airway,TN,525,7699.855162,1355.16499
0074 - Level IV Endoscopy Upper Airway,TX,1047,9281.797908,1409.794852
0074 - Level IV Endoscopy Upper Airway,UT,113,3812.934248,1256.080973
0074 - Level IV Endoscopy Upper Airway,VA,489,7826.295726,1381.002209
0074 - Level IV Endoscopy Upper Airway,VT,114,2746.536228,1540.666053
0074 - Level IV Endoscopy Upper Airway,WA,283,7401.262686,1526.491908
0074 - Level IV Endoscopy Upper Airway,WI,303,6462.153498,1448.822574
0074 - Level IV Endoscopy Upper Airway,WV,213,3735.110141,1265.211596
0074 - Level IV Endoscopy Upper Airway,WY,42,3683.605238,1329.386429
0078 - Level III Pulmonary Treatment,AK,372,815.7247849,113.666371
0078 - Level III Pulmonary Treatment,AL,3362,851.1442951,86.33924152
0078 - Level III Pulmonary Treatment,AR,2123,459.8798398,89.22360339
0078 - Level III Pulmonary Treatment,AZ,3882,459.89483,99.02849047
0078 - Level III Pulmonary Treatment,CA,13261,1133.044812,119.5147266
0078 - Level III Pulmonary Treatment,CO,3306,592.5238808,100.2153993
0078 - Level III Pulmonary Treatment,CT,3712,503.3567538,111.8880199
0078 - Level III Pulmonary Treatment,DC,699,388.945422,101.4966953
0078 - Level III Pulmonary Treatment,DE,1619,283.9567387,101.0389129
0078 - Level III Pulmonary Treatment,FL,11119,762.6762937,93.5469044
0078 - Level III Pulmonary Treatment,GA,4605,621.138532,93.28027796
0078 - Level III Pulmonary Treatment,HI,574,473.6179268,105.2427178
0078 - Level III Pulmonary Treatment,IA,3051,417.9091872,94.11695182
0078 - Level III Pulmonary Treatment,ID,1902,298.4328391,92.63842271
0078 - Level III Pulmonary Treatment,IL,14303,598.1522513,97.92908061
0078 - Level III Pulmonary Treatment,IN,7873,522.6909272,93.87132351
0078 - Level III Pulmonary Treatment,KS,2760,537.2240725,91.49511957
0078 - Level III Pulmonary Treatment,KY,4797,529.3636794,89.33411924
0078 - Level III Pulmonary Treatment,LA,3758,656.2471847,88.54524481
0078 - Level III Pulmonary Treatment,MA,10303,526.7536087,119.241155
0078 - Level III Pulmonary Treatment,ME,3580,288.7986955,95.27990503
0078 - Level III Pulmonary Treatment,MI,10248,390.019639,96.3081655
0078 - Level III Pulmonary Treatment,MN,5250,339.8116876,102.8013981
0078 - Level III Pulmonary Treatment,MO,8893,478.3642562,92.22030473
0078 - Level III Pulmonary Treatment,MS,1287,643.2676301,86.79609946
0078 - Level III Pulmonary Treatment,MT,1190,234.6909496,100.0188403
0078 - Level III Pulmonary Treatment,NC,8561,450.9343605,92.03751548
0078 - Level III Pulmonary Treatment,ND,1698,203.3143051,98.89625442
0078 - Level III Pulmonary Treatment,NE,1393,584.9704164,95.72167265
0078 - Level III Pulmonary Treatment,NH,2132,556.4519325,105.9479925
0078 - Level III Pulmonary Treatment,NJ,5079,779.5181847,109.7202363
0078 - Level III Pulmonary Treatment,NM,1698,441.8049706,97.14958775
0078 - Level III Pulmonary Treatment,NV,704,865.9671165,103.5267045
0078 - Level III Pulmonary Treatment,NY,8005,510.3609681,102.2763773
0078 - Level III Pulmonary Treatment,OH,14218,458.860742,92.76232944
0078 - Level III Pulmonary Treatment,OK,3893,404.5230876,90.61414077
0078 - Level III Pulmonary Treatment,OR,2928,505.2241223,102.4851639
0078 - Level III Pulmonary Treatment,PA,15303,746.2656316,94.66170424
0078 - Level III Pulmonary Treatment,RI,1095,409.6470868,106.0964566
0078 - Level III Pulmonary Treatment,SC,3824,553.7280622,91.2461977
0078 - Level III Pulmonary Treatment,SD,1839,250.3005492,100.3299076
0078 - Level III Pulmonary Treatment,TN,3915,603.241037,88.94780587
0078 - Level III Pulmonary Treatment,TX,16022,781.5155667,94.35277431
0078 - Level III Pulmonary Treatment,UT,1903,289.8282554,93.17517078
